participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,,9,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,9,9,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,9,6,0,1,1,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0,22,11,0,0,0,0,1,1,1,0,1,1,0,1,1,,,,0,0,0,,1,0,1,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,
4,,0,8,6,0,0,1,1,1,0,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0,9,9,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0,9,8,1,1,1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,9,5,3,-1,-1,-1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0,9,5,1,1,1,-1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0,9,6,3,-1,-1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0,9,5,1,0,1,1,0,-1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0,9,7,2,-1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,9,9,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0,9,8,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0,9,6,2,1,1,-1,1,-1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0,7,5,0,1,1,1,0,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1,10,3,0,1,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0,10,5,1,0,0,1,1,0,1,0,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0,10,8,1,1,1,-1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0,10,6,1,0,0,0,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0,10,7,1,1,1,-1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0,10,7,0,1,1,1,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,0,10,10,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,1,11,11,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0,11,11,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,1,20,9,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,1,12,12,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0,12,10,1,0,1,1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,11,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
34,,0,14,9,1,1,1,-1,1,1,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,0,20,18,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0,20,16,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0,20,16,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0,20,13,1,-1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1,21,16,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,0,21,17,2,-1,-1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0,9,7,0,0,,,1,,,,,1,,,,,,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0,12,12,0,1,1,1,1,,1,,,1,,1,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,0,22,17,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,1,23,20,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0,9,5,3,-1,-1,-1,,,,1,,,0,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,0,24,21,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
49,,0,17,15,0,1,,1,1,1,1,1,1,0,0,1,,,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50,,0,12,10,2,-1,,-1,1,1,,,1,1,,,,1,1,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
51,,0,24,23,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
52,,1,14,10,1,0,0,,-1,0,1,,1,1,,,,1,1,1,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
54,,0,27,26,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
55,,0,27,20,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,-1,,,,,,,,,,,,,,,,,,,,,
58,,0,12,7,0,0,0,,0,0,,,1,1,0,1,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,0,27,15,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
61,,0,27,19,8,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,
64,,0,20,18,1,-1,0,,1,1,,1,1,1,1,,1,1,,1,1,,1,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
65,,0,7,7,0,1,,1,,,,,,,,,1,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
66,,0,27,19,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
67,,0,18,17,0,1,1,0,1,1,1,,1,1,1,,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
70,,0,27,23,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
71,,0,17,11,6,-1,,-1,,-1,1,,1,1,-1,,,-1,,1,1,,,1,1,1,1,,1,,1,-1,,,,,,,,,,,,,,,,,,,,,
73,,0,25,19,3,1,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,,1,1,1,-1,1,1,1,1,,1,-1,,,,,,,,,,,,,,,,,,,,,
76,,0,27,19,7,-1,-1,-1,1,1,1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,
77,,0,22,21,0,1,1,1,,1,1,,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
79,,0,27,15,6,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,0,1,1,0,1,1,0,1,-1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
81,,0,27,20,4,1,1,1,1,-1,1,1,1,1,-1,1,0,1,0,1,0,1,1,1,1,1,-1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,
83,,0,23,15,3,-1,-1,-1,1,1,1,1,0,1,1,1,1,,1,1,1,,,0,1,1,0,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
84,,0,22,18,3,1,1,-1,1,0,,1,,1,1,1,,1,1,1,,1,1,,1,-1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,
85,,0,27,22,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
87,,3,30,20,4,-1,1,1,1,-1,-1,0,1,1,-1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
88,,0,19,13,1,0,0,0,1,,1,,1,1,,1,0,1,,,1,,1,1,1,1,1,1,,,0,-1,,,,,,,,,,,,,,,,,,,,,
89,,0,9,6,0,1,,1,,1,,,1,,,,,0,0,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,
93,,0,30,20,1,-1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,
94,,1,31,23,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,-1,1,0,1,,,,,,,,,,,,,,,,,
97,,0,22,20,2,1,,,1,1,1,-1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,,1,1,,,1,-1,1,,,,,,,,,,,,,,,,,
100,,0,28,16,2,0,0,0,0,,0,1,1,1,1,0,,0,1,1,0,,1,1,-1,-1,1,1,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,
104,,0,9,8,1,1,,-1,,,,,,,,,,1,1,,,1,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
106,,0,22,14,8,1,,,-1,,-1,1,1,-1,1,1,1,1,-1,1,1,,1,1,1,-1,,1,,1,,,-1,-1,-1,,,,,,,,,,,,,,,,,,
107,,0,26,23,2,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,,1,1,-1,0,1,1,,,,,,,,,,,,,,,,,
108,,0,31,24,7,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,
110,,1,32,16,3,-1,1,-1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,-1,0,0,0,0,1,,,,,,,,,,,,,,,,
111,,0,13,7,2,-1,,-1,,1,1,0,,1,1,,,,,1,1,,,0,,,0,,,1,,0,,,,,,,,,,,,,,,,,,,,,
